Text1,Text2,Type,Lang,Scores,e5_mean
The Flat Earth model is a view that the Earth 's shape is a flat plane .,The idea of a flat Earth is that the surface of the Earth is flat .,train,eng,0.94,0.9511789083480835
Fluoxetine is an antidepressant of the selective serotonin reuptake inhibitor class .,Fluoxetine is a one of a group of antidepressants called selective serotonin reuptake inhibitors .,train,eng,0.94,0.9832445979118347
You already made your decision.,you already made your decision....it's over.,train,eng,0.94,0.9255402684211731
"Amsterdam is just a load of bloody prostitutes, isn't it?","there's only a bunch of prostitutes in Amsterdam, right?",train,eng,0.94,0.9660933017730713
Syrian opposition offers Assad truce in Homs for duration of Ramadan,Syrian opposition offers Assad's forces truce for duration of Ramadan,train,eng,0.94,0.9835875034332275
I like that song if it is the right song.,I LIKE THAT SONG IF IT'S THE RIGHT SONG ;),train,eng,0.94,0.9699664115905762
Obama Praises Mandela 'Inspiration',Obama hails Mandela's inspiration effect,train,eng,0.94,0.9674453139305115
Make yourself happy before anyone else!,Make urself happy before anyone else!,train,eng,0.94,0.9934150576591492
KL shares remain higher mid-afternoon,KL shares continue uptrend mid-afternoon,train,eng,0.94,0.9794479608535767
Autograph also refers to a person 's signature .,An autograph can also mean someones signature .,train,eng,0.94,0.9841127991676331
Game Maker is a Windows computer program originally developed by Mark Overmars in the Delphi programming language .,Game Maker is a program for Windows - An operating system - which was made first by Mark Overmars .,train,eng,0.94,0.9584258198738098
No wonder Edward was reacting this way.,it was no surprise that Edward reacted like that.,train,eng,0.94,0.9752931594848633
I am not sure if you need saxophone or piano music.,"Not sure if you needed sax or piano music, anyway.",train,eng,0.94,0.9590145349502563
Keifer performed well as Jack Bauer.,"Yeah, Keifer does a great job as Jack Bauer!!",train,eng,0.94,0.9447773694992065
"By 1850 , Strauss was calling himself Levi .",By 1850 he had adopted the name `` Levi Strauss '' .,train,eng,0.94,0.9583723545074463
Take him aside and tell him how you truly feel.,take him aside and tell him how u truly feel,train,eng,0.94,0.9819003343582153
Fred Hoyle is credited with coining the term Big Bang during a 1949 radio broadcast .,Fred Hoyle called the theory the `` Big Bang '' on his radio show .,train,eng,0.94,0.9399328231811523
Snowden sees 'no chance' for US fair trial,"Snowden sees ""no chance"" to get fair trial in U.S.",train,eng,0.94,0.9819303750991821
I believe it could have been more dramatic.,I think it could have been more dramatic!,train,eng,0.94,0.9768958687782288
"A minimum wage is the lowest hourly , daily or monthly wage that employers may legally pay to employees or workers .",The minimum wage is the least amount of money that employees of a business can be paid .,train,eng,0.94,0.9591750502586365
I'm black and found it funny.,I'm black and found it hilariously funny!!!,train,eng,0.94,0.9623085260391235
"Artists ' brushes are usually given numbered sizes , although there is no exact standard for their physical dimensions .","Artists ' brushes usually have sizes with numbers , but there is no standard .",train,eng,0.94,0.9792232513427734
"I don't know, sorry but she has got a great voice and my favorite song by her is Breakaway.",i dunno sorry but she has got a great voice and my favorite song by her is breakaway,train,eng,0.94,0.9689350128173828
Federer Wins 7th Wimbledon Title,Federer captures 7th Wimbledon title,train,eng,0.94,0.9891338348388672
You ought to begin your life anew.,you should start your life a new.,train,eng,0.94,0.9833879470825195
"At the 2006 census , Euroa had a population of 2,776 .","In 2006 there were 2,776 people living in the town .",train,eng,0.94,0.9054807424545288
I had a lot of help from Jack Daniels.,Jack Daniels helped me a lot.,train,eng,0.94,0.9803900718688965
How can I go about winning her back?,How do i win her back?,train,eng,0.94,0.9902985095977783
The implementation of the Directive's provisions on sanctions against employers needs to be supported and monitored.,"it will need to monitor and control the implementation of the Directive, which sets out penalties for employers.",train,eng,0.94,0.9534938931465149
Denkova & Staviski are the first Bulgarian figure skaters to medal at the World Figure Skating Championships .,"Denkova and Staviski are the first Bulgarian skaters to win Worlds , which they did in 2006 and 2007 .",train,eng,0.94,0.9439377188682556
Xenon is the only element which has nine stable isotopes .,"For example , xenon has 9 isotopes .",train,eng,0.94,0.9402130246162415
Seeing you is gonna make your grandmother very happy.,grandma will be happy to see you.,train,eng,0.94,0.9650413393974304
People like and desire the unattainable.,People like and want what they can't have.,train,eng,0.94,0.9443951845169067
"Matthew McConaughey, and I am not even gay.",matthew mcchanughey.. and i aint even gay!,train,eng,0.94,0.9429537057876587
This year's search for bodies has produced twenty bodies.,twenty bodies have been found this year.,train,eng,0.94,0.9701898097991943
I have no clue as to why people are giving rude answers.,i don't know why all the people keep giving rude answers.,train,eng,0.94,0.9753603339195251
A gas station that costs$ 2.52 and nine-tenths a gallon.,A gas station name m&h with gas the price of$ 2.52.,train,eng,0.93,0.911626398563385
Michelle Obama To Star In Parks And Recreation,Michelle Obama to appear on 'Parks and Recreation',train,eng,0.93,0.9797250032424927
"I'm not accusing him of being anything but shrewd and ambitious, after all.","after all, I blame him nothing more than cunning and ambition.",train,eng,0.93,0.9272979497909546
"The Asiatic Salamanders are primitive salamanders found all over Asia , and in European Russia .",The Asiatic Salamanders are a primitive kind of salamanders that can be found throughout Asia .,train,eng,0.91,0.9597495198249817
Wedding Crashers and the 40 year old virgin.,Wedding Crashers and 40 Year-Old Virgin.,train,eng,0.91,0.9828810691833496
"You are the brother of Ragnar Lothbrok, are you not?","you're Ragnar Lothbrok's brother, aren't you?",train,eng,0.91,0.9913332462310791
"To answer your question, any big city. Just ask a cab driver.","To answer your question, any big city.................just ask a cab driver.",train,eng,0.91,0.9853870272636414
"We're already two million, two over the original budget.",we have exceeded the original budget by 2.2 million.,train,eng,0.91,0.9475886821746826
I would like to hear your side of the story.,i want to hear ur side,train,eng,0.91,0.9408206343650818
I wanted to see how people would react.,in because i wanted to see how people would react.,train,eng,0.91,0.9548370838165283
"If you do not, there is a reason why you do no.","If you don't, is there a reason you don't.",train,eng,0.91,0.9566202759742737
People always want things that they cannot obtain.,People always want what they can't have.,train,eng,0.91,0.9843117594718933
"Just looking at those pictures, it's got to be rough.",it must have been hard to examine the pictures.,train,eng,0.91,0.9124611616134644
US believes Syrian government used chemical weapons,US suspects Syria used chemical weapons,train,eng,0.91,0.9728089570999146
To get over to the other side.,To get to the toher side,train,eng,0.91,0.9047393202781677
"Track fault disrupts train service between Raffles Place, Marina Bay",Train service disrupted between Raffles Place and Marina Bay,train,eng,0.91,0.9771872758865356
I do not know anything about her father,I dont know about her father.,train,eng,0.91,0.9840163588523865
Hamming can detect and correct single-bit errors and also can detect double-bit errors .,"With hamming codes it is possible to correct one-bit errors , and to detect two-bit errors .",train,eng,0.91,0.9709137082099915
"Living On A Prayer."" Bon Jovi",Livin On A Prayer Bon Jovi,train,eng,0.91,0.9661548137664795
A swimmer is doing the backstroke in the swimming pool.,a person doing the back stroke in a swimming pool,train,eng,0.91,0.967772901058197
"Ew, Bridgette's drinking from the milk carton.",phew Bridgette drinks milk right out of the box.,train,eng,0.91,0.9420375823974609
I'm looking forward to reading the rest of the series.,I look forward to reading the rest in this series.,train,eng,0.91,0.9842497706413269
"Using the ""Just Say No"" motto depends on the circumstances.",Just say No Depends what you're saying no to.,train,eng,0.91,0.9155111908912659
This book was a lot of fun.,** spoiler alert ** This was a really fun book.,train,eng,0.91,0.9128709435462952
I had a nervous stomach because he frightened me.,I had butterflies in my stomach b/c he scared me.,train,eng,0.91,0.9540988802909851
I think you need to wait until you become mature enough to handle this situation.,"If you can't handle it, wait until you are mature enough.",train,eng,0.91,0.9342119097709656
This shall also include a management plan for the sewage sludge.,the waste sludge management plan is also included.,train,eng,0.91,0.9445464611053467
"Around 12 AM , the plant released methyl isocyanate gas and other toxins , resulting in the exposure of over 500,000 people .","On 3 December 1984 , the plant released 42 tonnes of toxic methyl isocyanate gas , exposing more than 500,000 people to toxic gases .",train,eng,0.91,0.9247390627861023
You need to get an agent and make sure you get paid before paying anyone else.,Get an agent...and don't pay anyone until you get paid.,train,eng,0.91,0.947666347026825
If you know the third 1/18; please share it with me!,"if you know the third 1/18, PLEASE share with me!!!",train,eng,0.91,0.9841316938400269
"Often, the nervous system collapses after that type of humiliation.","after such humiliation, the nervous system will collapse.",train,eng,0.91,0.9723327159881592
"Dude, you gotta hook me up with a new phone.","man, I need a new phone from you.",train,eng,0.91,0.962710440158844
"It is not easy, but it is well worth it.","Definately is not easy, but is well worth it!",train,eng,0.91,0.9446431994438171
Raimond Aumann was a German footballer .,Raimond Aumann is a former German football player .,train,eng,0.91,0.9857829809188843
North Korea fires three short-range missiles,N. Korea fires short-range missiles,train,eng,0.91,0.9718493819236755
The answer is because you enjoy being in the presence of that person.,THE ANSWER IS B'CUZ YOU FEEL GOOD HAVING THAT PERSON WITH YOU.,train,eng,0.91,0.9466859698295593
It's funny and zany in a way that only Terry Pratchett can be.,"Clever and wonderful, as only Terry Pratchett can be.",train,eng,0.91,0.960480809211731
I like Sinatra for classical performances and Buble for revivals.,Sinatra for classics and Buble for revivals...,train,eng,0.91,0.9597124457359314
"It's like, gross, yet oddly delicious.","it's disgusting, but at the same time, weirdly tasty.",train,eng,0.91,0.9681404232978821
"You are aware of the curfew, I presume.",I assume you know about the curfew.,train,eng,0.91,0.9893814921379089
The first time I gazed upon his green eyes!,the first time I saw his green eyes!,train,eng,0.91,0.9804798364639282
They are neither taxes nor public prices.,it is not a tax or public price.,train,eng,0.91,0.9475454092025757
"I said, ""Okay, you two, take off.","fine, you two get out of here now,"" I told them.",train,eng,0.91,0.9427036046981812
"During the hearing, Morales expressed ""sincere regrets and remorse"" for his actions.","Morales, who pleaded guilty in July, expressed ""sincere regret and remorse"" for his crimes.",train,eng,0.91,0.9447895288467407
Would you like to see a movie with me on Friday?,i was wondering if you wanted to go see a movie with me on friday?,train,eng,0.91,0.9644564986228943
Sandro Salvadore was an Italian footballer .,Sandro Salvadore is a former Italian football player .,train,eng,0.91,0.9844168424606323
The Assembly set the end of its term for 29 September 1791 .,The National Assembly decided that it would stop governing France on 29 September 1791 .,train,eng,0.91,0.9325113892555237
"capital offenses in iran include murder, rape, armed robbery, apostasy, blasphemy, serious drug trafficking, repeated sodomy, adultery, prostitution, treason and espionage.","capital offenses in iran include murder, rape, armed robbery, serious drug trafficking and adultery.",train,eng,0.91,0.9704527258872986
Adhesive tape can be one of many varieties of backing materials coated with an adhesive .,Adhesive tape is a tape that is coated with adhesive and used to stick objects together .,train,eng,0.91,0.9299414157867432
"It is also the subject of a documentary , Satanis .","A whole documentary , Satanis was also made about it in 1970 .",train,eng,0.91,0.9284302592277527
"It's a five-year lease, 50 grand a month... ....my name on it.","we have a mortgage, five more years... 50,000 a month.",train,eng,0.91,0.9308558106422424
It does not matter whether the woman admits to liking you or not.,It doesnt matter if the girl admits if she likes u or not.,train,eng,0.91,0.9766172766685486
I can't wait to read the next one in the series.,Can't wait to read the next one.,train,eng,0.91,0.9695702791213989
I didn't even have a pet as a child.,we didn't have an animal when I was a kid.,train,eng,0.91,0.9599499702453613
The dose of these medicines may need to be adjusted by your doctor.,your doctor may need to adjust your medication.,train,eng,0.91,0.9526945948600769
I loved it and it was a really good movie.,i loved it is was a realy good movie.,train,eng,0.91,0.9662882089614868
A person folds a tortilla.,A man folds a tortilla.,train,eng,0.91,0.9692270159721375
You are too young to date or be in love.,To young to date or be in love!,train,eng,0.91,0.962861180305481
Why not stop talking and get a life.,How about not talking and getting a life !,train,eng,0.91,0.9530473947525024
"At the 2006 census , Eugowra had a population of 535 .","In 2006 , 535 people lived in Eugowra .",train,eng,0.91,0.9879710078239441
A stronghold is a strongly fortified defensive structure .,Stronghold means castle or any other strongly fortified place .,train,eng,0.91,0.9604610800743103
"That is the key, and the rest will follow.",all the rest will follow soon.,train,eng,0.91,0.8858016729354858
"All right, I've got the talking pillow now.","okay, now I have a talking pillow.",train,eng,0.91,0.9865087270736694
"I can not see it myself, but I have had quite a few people say it now.",I can't see it myself but i've had quite a few people say it now.,train,eng,0.91,0.9968438148498535
"No, I apologize; all I know is that it was a good movie.","no, sry, all i know was that it was a good movie",train,eng,0.91,0.9763996601104736
One important piece of advice: do not have a friend do it.,"One thing, don't have a friend do it.",train,eng,0.91,0.9615522027015686
One is dead and the other is from a different time period.,hmmmm ones dead and the others from a different time period?,train,eng,0.91,0.9308364987373352
"At the time , Oakland seemed an unlikely venue for a professional football team .",Oakland was a unlikely city to have a professional American football team .,train,eng,0.91,0.9568959474563599
"You try to forget everything good, and remember everything bad.","you just try to forget everything good, and remember everything bad.",train,eng,0.91,0.9929640889167786
It is up to your boyfriend to tell her.,Your bf should be the on telling her.,train,eng,0.91,0.9560792446136475
I'll talk to the son of a- Foyle!,I want to talk to this son-of-a-Foyle!,train,eng,0.91,0.9646206498146057
The orchestra 's reputation increased most prominently during the music directorship of Serge Koussevitzky .,Serge Koussevitzky was their conductor for many years and made them a world-class orchestra .,train,eng,0.91,0.9122363328933716
I definitely believe that there is a 'special someone' for everyone!,I think their is a 'special someone' for everyone!,train,eng,0.91,0.9836638569831848
"Born in Vienna , Schidlof fled Austria for England following the Nazi Anschluss in 1938 .","Schidlof was born in Vienna , but had to leave Austria when the Nazis came .",train,eng,0.91,0.9383715391159058
Pachycephalosaurus is a genus of pachycephalosaurid dinosaur .,Pachycephalosaurus was a member of the Pachycephalosaurid family .,train,eng,0.91,0.972265362739563
My number is lost. May I have yours?,"lost my number,can i get yours!",train,eng,0.91,0.9715448617935181
Its county seat is Clarksdale .,It 's capital is Clarksdale .,train,eng,0.91,0.9356195330619812
I do not think it matters what your race is.,"i dont think it matters if your white, black, purple, yellow, etc.",train,eng,0.91,0.9266026020050049
"That is just as I should hope, Mr Tulkinghorn.","that's what I'm hoping for, Mr. Tulkinghorne.",train,eng,0.91,0.9646415710449219
He's got the ball. He's going on the run.,he got the ball and he's running.,train,eng,0.91,0.9631767272949219
a boy plays with a noodle by the pool.,A boy plays with a foam noodle toy by a pool.,train,eng,0.91,0.9706538319587708
"This book could have been written better, but it's still nothing to complain about.","So even though the book didn't really ""wow"" me, I still enjoyed reading it.",train,eng,0.91,0.8802385330200195
I suggest you watch all of it again.,why don't you watch it all over again.,train,eng,0.91,0.935814380645752
"@Lustig Andrei, So Lyndon Johnson and John Kennedy were compatible?","@edgarblythe, So Lyndon Johnson and John Kennedy were compatible?",train,eng,0.91,0.9909951686859131
The Doctor's got them back in their quarters already.,the doctor had already sent them to his quarters.,train,eng,0.91,0.9650266170501709
"To borrow a phrase from Holden Caufield, ""phonies"".",Taking a word from Holden Caulfield here...Phonies,train,eng,0.91,0.917250394821167
It becomes visible when it breathes fire.,"when he's spitting fire, then you can see it.",train,eng,0.91,0.9232528209686279
"At the 2006 census , Beveridge and the surrounding area had a population of 1,192 .","In 2006 there were 1,192 people living in Beveridge and the local area .",train,eng,0.91,0.9751943945884705
I really don't know; it's a random guess.,i dono jus a random guess,train,eng,0.91,0.8972028493881226
"Charlotte Eagles is an American professional soccer team based in Charlotte , North Carolina , United States .","The Charlotte Eagles are a soccer club that plays in Charlotte , North Carolina .",train,eng,0.91,0.9709874987602234
The village suffered major congestion until the bypass was built in the 1960s .,In the 1960 's a bypass was built to go around the village .,train,eng,0.91,0.9495392441749573
"So come to New York right away, Mark. Please, do it for me.","Mark, if you care about me a little, come to New York.",train,eng,0.91,0.9251744747161865
"Drusilla Jane ""DJ"" Jaco is a deputy sentinel of New Orleans.",DJ is employed as the deputy sentinel of New Orleans.,train,eng,0.91,0.9427337646484375
He leads the Ranger team we're sending in.,he's leading the Rangers team going there.,train,eng,0.91,0.9379750490188599
"Similar to how I alphabetize my CD collection, certain things have to be done in a particular way.",Like I alphabetize my CD collection and certain things have to be just so.,train,eng,0.91,0.9539409279823303
"The only thing that you can tell by his looks, is that he is hot amd that you want him!",the only thing you can tell by looking at him is if hes hot and you want him!!!!,train,eng,0.91,0.9674810767173767
@realDonaldTrump I hope and pray you get the nomination. America needs a man with a backbone! And one that can't be bought!,@realDonaldTrump Stay the course! You can win! The USA needs your leadership and competence!,train,eng,0.91,0.909585177898407
"He would have wanted you to have this, honey.","he'd want you to have it, darling.",train,eng,0.91,0.9586525559425354
But the prime minister told the BBC he wasn't bothered by polls and that he would continue to do what he believed to be right.,"He said he wasn't bothered by polls and that he would continue to do what he believed to be right, in both foreign and domestic policy.",train,eng,0.91,0.9396592378616333
Give Palmela and her five sisters a phone call.,Call up Palmela and her five sisters.,train,eng,0.91,0.9742660522460938
"If you make her feel comfortable, then she will like you.",So u make her feel comfortable then she will like u.,train,eng,0.91,0.9779821634292603
Then you can call anywhere you want.,then presto you can call anywhere you want.,train,eng,0.91,0.9382959008216858
I think it is called After Dark by Tito and Tarantula.,I think it is After Dark - Tito & Tarantula.,train,eng,0.91,0.9800757169723511
"Be yourself, show them you care for them.",be yourself bro and show them you like and care for them.,train,eng,0.91,0.9589915871620178
All in all this is a wonderful book.,"I found myself smiling through out the whole book, and not many books can do that for me.",train,eng,0.91,0.8446568846702576
The name was originally used in reference to pesos oro or pesos plata .,The name comes from the spanish words pesos oro or pesos plata .,train,eng,0.91,0.9622227549552917
Just tell them you are sorry and leave with the other people.,just say srry and go off with some other ppl.,train,eng,0.9,0.9606338143348694
Invite her to your home and watch a pornographic movie together.,invite her over and pop in a porno,train,eng,0.9,0.9383936524391174
"Tomorrow night, we're actually, seriously, throwing a party, if you wanna come.","seriously, we're having a party tomorrow night.",train,eng,0.9,0.9622489809989929
