Text1,Text2,Type,Lang,Scores
I very much enjoy Billy Talent. They are one of my favorite groups.,"I just love Billy Talent, they are one of my favourites.",train,eng,0.97
Two women posing with a baby.,Two smiling women holding a baby.,train,eng,0.94
"Best of luck completing your task. If you get the answer right, you can earn 5 more points.",Good Luck and it would be worth another 5 points if you get your answer right?,train,eng,0.94
"Their address is: 47483 Conneticut Dr, Nashville.",they live on 47483 conneticuit drive in nashville,train,eng,0.94
He claims to desire a pair of sunglasses.,He says he wants a pair of sunglasses!,train,eng,0.94
"Keep searching in different areas. There are decent, enjoyable women out there.","keep looking in different places, there are decent, fun, women out there...",train,eng,0.94
I was supposed to go to the movies and go-kart racing on my prom night.,on my prom night i was supposed to go to the movies and go go kart racing!,train,eng,0.94
"Close up, the shale pieces looks rather lovely.",close-up pieces of shale look quite nice.,train,eng,0.94
About 60 Crushed to Death in Ivory Coast Stampede,61 dead in Ivory Coast stampede,train,eng,0.94
Not any more than any other female.,No more than any other girl !,train,eng,0.94
"I disagree, I love ER and Wildfire!","No, I love ER.. and Wildfire!",train,eng,0.94
Coldplay is becoming popular really quickly.,coldplay is really coming up fast!,train,eng,0.94
"The sequel , Pikmin 2 , was released in 2004 .",Pikmin had a sequel called Pikmin 2 in 2004 for the GameCube as well .,train,eng,0.94
A woman and man are dancing in the rain.,A man and woman are dancing in rain.,train,eng,0.94
Jamun trees start flowering from March to April .,The Jamun tree starts flowering in March-April .,train,eng,0.94
Cottontail rabbits show a greater resistance to myxomatosis than European rabbits .,Cottontail rabbits do not get the disease myxomatosis as easily as European rabbits .,train,eng,0.94
Me and my friends used to love getting manicures.,my friends and I loved going out for a manicure.,train,eng,0.94
The second answer was I just went to the toilet and I got a Tampax.,the 2nd answer was : i just went to the toilet and i got a tampax.,train,eng,0.94
Bishan currently has 3 shopping centres .,Bishan has three shopping centers .,train,eng,0.94
"All right, who's ready for some banana-peanut butter pancakes?","okay, who wants banana pancakes with peanut butter?",train,eng,0.94
"I read somewhere, a new movie will be coming out 2008, or next year.",i read somewhere a new movie will be coming out next year or 2008.,train,eng,0.94
One woman is measuring another woman's ankle.,A woman measures another woman's ankle.,train,eng,0.94
It might be genetic or he might like dark colored make-up on his nose.,maybe its genetic...or maybe he likes dark makeup on his nose!!!,train,eng,0.94
I like Tess but Jessica is too much of a goody-goody!,"I like Tess,Jessica is to goody goody!",train,eng,0.94
Pittodrie Stadium is a football stadium situated in the Scottish city of Aberdeen .,"Pittodrie Stadium is a stadium in Aberdeen , Scotland .",train,eng,0.94
Do nt feel bad. My son is 31 and still single.,"Dont feel bad, my son is 31 and still single.",train,eng,0.94
A good website to resell your books is half.com.,half.com is a great website to sell your books!,train,eng,0.94
"Flowers, normally roses, and a box of candy.",flowers normally roses and a thing of candy!,train,eng,0.94
I'm going to get you safely out of Rome.,I'll take you from Rome to safety.,train,eng,0.94
"Well, here's a slipknot site www.Pulseofthemaggots.com.",um well here is a slipknot site www.pulseofthemaggots.com !!,train,eng,0.94
Your questions do not make any sence.,your questions dont make no sense!!!!!!,train,eng,0.94
"It depends, do you really want to meet him?",it depends if you really want to meet him.,train,eng,0.94
The Flat Earth model is a view that the Earth 's shape is a flat plane .,The idea of a flat Earth is that the surface of the Earth is flat .,train,eng,0.94
Fluoxetine is an antidepressant of the selective serotonin reuptake inhibitor class .,Fluoxetine is a one of a group of antidepressants called selective serotonin reuptake inhibitors .,train,eng,0.94
You already made your decision.,you already made your decision....it's over.,train,eng,0.94
"Amsterdam is just a load of bloody prostitutes, isn't it?","there's only a bunch of prostitutes in Amsterdam, right?",train,eng,0.94
Syrian opposition offers Assad truce in Homs for duration of Ramadan,Syrian opposition offers Assad's forces truce for duration of Ramadan,train,eng,0.94
I like that song if it is the right song.,I LIKE THAT SONG IF IT'S THE RIGHT SONG ;),train,eng,0.94
Obama Praises Mandela 'Inspiration',Obama hails Mandela's inspiration effect,train,eng,0.94
Make yourself happy before anyone else!,Make urself happy before anyone else!,train,eng,0.94
KL shares remain higher mid-afternoon,KL shares continue uptrend mid-afternoon,train,eng,0.94
Autograph also refers to a person 's signature .,An autograph can also mean someones signature .,train,eng,0.94
Game Maker is a Windows computer program originally developed by Mark Overmars in the Delphi programming language .,Game Maker is a program for Windows - An operating system - which was made first by Mark Overmars .,train,eng,0.94
No wonder Edward was reacting this way.,it was no surprise that Edward reacted like that.,train,eng,0.94
I am not sure if you need saxophone or piano music.,"Not sure if you needed sax or piano music, anyway.",train,eng,0.94
Keifer performed well as Jack Bauer.,"Yeah, Keifer does a great job as Jack Bauer!!",train,eng,0.94
"By 1850 , Strauss was calling himself Levi .",By 1850 he had adopted the name `` Levi Strauss '' .,train,eng,0.94
Take him aside and tell him how you truly feel.,take him aside and tell him how u truly feel,train,eng,0.94
Fred Hoyle is credited with coining the term Big Bang during a 1949 radio broadcast .,Fred Hoyle called the theory the `` Big Bang '' on his radio show .,train,eng,0.94
Snowden sees 'no chance' for US fair trial,"Snowden sees ""no chance"" to get fair trial in U.S.",train,eng,0.94
I believe it could have been more dramatic.,I think it could have been more dramatic!,train,eng,0.94
"A minimum wage is the lowest hourly , daily or monthly wage that employers may legally pay to employees or workers .",The minimum wage is the least amount of money that employees of a business can be paid .,train,eng,0.94
I'm black and found it funny.,I'm black and found it hilariously funny!!!,train,eng,0.94
"Artists ' brushes are usually given numbered sizes , although there is no exact standard for their physical dimensions .","Artists ' brushes usually have sizes with numbers , but there is no standard .",train,eng,0.94
"I don't know, sorry but she has got a great voice and my favorite song by her is Breakaway.",i dunno sorry but she has got a great voice and my favorite song by her is breakaway,train,eng,0.94
Federer Wins 7th Wimbledon Title,Federer captures 7th Wimbledon title,train,eng,0.94
You ought to begin your life anew.,you should start your life a new.,train,eng,0.94
"At the 2006 census , Euroa had a population of 2,776 .","In 2006 there were 2,776 people living in the town .",train,eng,0.94
I had a lot of help from Jack Daniels.,Jack Daniels helped me a lot.,train,eng,0.94
How can I go about winning her back?,How do i win her back?,train,eng,0.94
The implementation of the Directive's provisions on sanctions against employers needs to be supported and monitored.,"it will need to monitor and control the implementation of the Directive, which sets out penalties for employers.",train,eng,0.94
Denkova & Staviski are the first Bulgarian figure skaters to medal at the World Figure Skating Championships .,"Denkova and Staviski are the first Bulgarian skaters to win Worlds , which they did in 2006 and 2007 .",train,eng,0.94
Xenon is the only element which has nine stable isotopes .,"For example , xenon has 9 isotopes .",train,eng,0.94
Seeing you is gonna make your grandmother very happy.,grandma will be happy to see you.,train,eng,0.94
People like and desire the unattainable.,People like and want what they can't have.,train,eng,0.94
"Matthew McConaughey, and I am not even gay.",matthew mcchanughey.. and i aint even gay!,train,eng,0.94
This year's search for bodies has produced twenty bodies.,twenty bodies have been found this year.,train,eng,0.94
I have no clue as to why people are giving rude answers.,i don't know why all the people keep giving rude answers.,train,eng,0.94
A gas station that costs$ 2.52 and nine-tenths a gallon.,A gas station name m&h with gas the price of$ 2.52.,train,eng,0.93
Michelle Obama To Star In Parks And Recreation,Michelle Obama to appear on 'Parks and Recreation',train,eng,0.93
"I'm not accusing him of being anything but shrewd and ambitious, after all.","after all, I blame him nothing more than cunning and ambition.",train,eng,0.93
"The Asiatic Salamanders are primitive salamanders found all over Asia , and in European Russia .",The Asiatic Salamanders are a primitive kind of salamanders that can be found throughout Asia .,train,eng,0.91
Wedding Crashers and the 40 year old virgin.,Wedding Crashers and 40 Year-Old Virgin.,train,eng,0.91
"You are the brother of Ragnar Lothbrok, are you not?","you're Ragnar Lothbrok's brother, aren't you?",train,eng,0.91
"To answer your question, any big city. Just ask a cab driver.","To answer your question, any big city.................just ask a cab driver.",train,eng,0.91
"We're already two million, two over the original budget.",we have exceeded the original budget by 2.2 million.,train,eng,0.91
I would like to hear your side of the story.,i want to hear ur side,train,eng,0.91
I wanted to see how people would react.,in because i wanted to see how people would react.,train,eng,0.91
"If you do not, there is a reason why you do no.","If you don't, is there a reason you don't.",train,eng,0.91
People always want things that they cannot obtain.,People always want what they can't have.,train,eng,0.91
"Just looking at those pictures, it's got to be rough.",it must have been hard to examine the pictures.,train,eng,0.91
US believes Syrian government used chemical weapons,US suspects Syria used chemical weapons,train,eng,0.91
To get over to the other side.,To get to the toher side,train,eng,0.91
"Track fault disrupts train service between Raffles Place, Marina Bay",Train service disrupted between Raffles Place and Marina Bay,train,eng,0.91
I do not know anything about her father,I dont know about her father.,train,eng,0.91
Hamming can detect and correct single-bit errors and also can detect double-bit errors .,"With hamming codes it is possible to correct one-bit errors , and to detect two-bit errors .",train,eng,0.91
"Living On A Prayer."" Bon Jovi",Livin On A Prayer Bon Jovi,train,eng,0.91
A swimmer is doing the backstroke in the swimming pool.,a person doing the back stroke in a swimming pool,train,eng,0.91
"Ew, Bridgette's drinking from the milk carton.",phew Bridgette drinks milk right out of the box.,train,eng,0.91
I'm looking forward to reading the rest of the series.,I look forward to reading the rest in this series.,train,eng,0.91
"Using the ""Just Say No"" motto depends on the circumstances.",Just say No Depends what you're saying no to.,train,eng,0.91
This book was a lot of fun.,** spoiler alert ** This was a really fun book.,train,eng,0.91
I had a nervous stomach because he frightened me.,I had butterflies in my stomach b/c he scared me.,train,eng,0.91
I think you need to wait until you become mature enough to handle this situation.,"If you can't handle it, wait until you are mature enough.",train,eng,0.91
This shall also include a management plan for the sewage sludge.,the waste sludge management plan is also included.,train,eng,0.91
"Around 12 AM , the plant released methyl isocyanate gas and other toxins , resulting in the exposure of over 500,000 people .","On 3 December 1984 , the plant released 42 tonnes of toxic methyl isocyanate gas , exposing more than 500,000 people to toxic gases .",train,eng,0.91
You need to get an agent and make sure you get paid before paying anyone else.,Get an agent...and don't pay anyone until you get paid.,train,eng,0.91
If you know the third 1/18; please share it with me!,"if you know the third 1/18, PLEASE share with me!!!",train,eng,0.91
"Often, the nervous system collapses after that type of humiliation.","after such humiliation, the nervous system will collapse.",train,eng,0.91
"Dude, you gotta hook me up with a new phone.","man, I need a new phone from you.",train,eng,0.91
"It is not easy, but it is well worth it.","Definately is not easy, but is well worth it!",train,eng,0.91
Raimond Aumann was a German footballer .,Raimond Aumann is a former German football player .,train,eng,0.91
North Korea fires three short-range missiles,N. Korea fires short-range missiles,train,eng,0.91
The answer is because you enjoy being in the presence of that person.,THE ANSWER IS B'CUZ YOU FEEL GOOD HAVING THAT PERSON WITH YOU.,train,eng,0.91
It's funny and zany in a way that only Terry Pratchett can be.,"Clever and wonderful, as only Terry Pratchett can be.",train,eng,0.91
I like Sinatra for classical performances and Buble for revivals.,Sinatra for classics and Buble for revivals...,train,eng,0.91
"It's like, gross, yet oddly delicious.","it's disgusting, but at the same time, weirdly tasty.",train,eng,0.91
"You are aware of the curfew, I presume.",I assume you know about the curfew.,train,eng,0.91
The first time I gazed upon his green eyes!,the first time I saw his green eyes!,train,eng,0.91
They are neither taxes nor public prices.,it is not a tax or public price.,train,eng,0.91
"I said, ""Okay, you two, take off.","fine, you two get out of here now,"" I told them.",train,eng,0.91
"During the hearing, Morales expressed ""sincere regrets and remorse"" for his actions.","Morales, who pleaded guilty in July, expressed ""sincere regret and remorse"" for his crimes.",train,eng,0.91
Would you like to see a movie with me on Friday?,i was wondering if you wanted to go see a movie with me on friday?,train,eng,0.91
Sandro Salvadore was an Italian footballer .,Sandro Salvadore is a former Italian football player .,train,eng,0.91
The Assembly set the end of its term for 29 September 1791 .,The National Assembly decided that it would stop governing France on 29 September 1791 .,train,eng,0.91
"capital offenses in iran include murder, rape, armed robbery, apostasy, blasphemy, serious drug trafficking, repeated sodomy, adultery, prostitution, treason and espionage.","capital offenses in iran include murder, rape, armed robbery, serious drug trafficking and adultery.",train,eng,0.91
Adhesive tape can be one of many varieties of backing materials coated with an adhesive .,Adhesive tape is a tape that is coated with adhesive and used to stick objects together .,train,eng,0.91
"It is also the subject of a documentary , Satanis .","A whole documentary , Satanis was also made about it in 1970 .",train,eng,0.91
"It's a five-year lease, 50 grand a month... ....my name on it.","we have a mortgage, five more years... 50,000 a month.",train,eng,0.91
It does not matter whether the woman admits to liking you or not.,It doesnt matter if the girl admits if she likes u or not.,train,eng,0.91
I can't wait to read the next one in the series.,Can't wait to read the next one.,train,eng,0.91
I didn't even have a pet as a child.,we didn't have an animal when I was a kid.,train,eng,0.91
The dose of these medicines may need to be adjusted by your doctor.,your doctor may need to adjust your medication.,train,eng,0.91
I loved it and it was a really good movie.,i loved it is was a realy good movie.,train,eng,0.91
A person folds a tortilla.,A man folds a tortilla.,train,eng,0.91
You are too young to date or be in love.,To young to date or be in love!,train,eng,0.91
Why not stop talking and get a life.,How about not talking and getting a life !,train,eng,0.91
"At the 2006 census , Eugowra had a population of 535 .","In 2006 , 535 people lived in Eugowra .",train,eng,0.91
A stronghold is a strongly fortified defensive structure .,Stronghold means castle or any other strongly fortified place .,train,eng,0.91
"That is the key, and the rest will follow.",all the rest will follow soon.,train,eng,0.91
"All right, I've got the talking pillow now.","okay, now I have a talking pillow.",train,eng,0.91
"I can not see it myself, but I have had quite a few people say it now.",I can't see it myself but i've had quite a few people say it now.,train,eng,0.91
"No, I apologize; all I know is that it was a good movie.","no, sry, all i know was that it was a good movie",train,eng,0.91
One important piece of advice: do not have a friend do it.,"One thing, don't have a friend do it.",train,eng,0.91
One is dead and the other is from a different time period.,hmmmm ones dead and the others from a different time period?,train,eng,0.91
"At the time , Oakland seemed an unlikely venue for a professional football team .",Oakland was a unlikely city to have a professional American football team .,train,eng,0.91
"You try to forget everything good, and remember everything bad.","you just try to forget everything good, and remember everything bad.",train,eng,0.91
It is up to your boyfriend to tell her.,Your bf should be the on telling her.,train,eng,0.91
I'll talk to the son of a- Foyle!,I want to talk to this son-of-a-Foyle!,train,eng,0.91
The orchestra 's reputation increased most prominently during the music directorship of Serge Koussevitzky .,Serge Koussevitzky was their conductor for many years and made them a world-class orchestra .,train,eng,0.91
I definitely believe that there is a 'special someone' for everyone!,I think their is a 'special someone' for everyone!,train,eng,0.91
"Born in Vienna , Schidlof fled Austria for England following the Nazi Anschluss in 1938 .","Schidlof was born in Vienna , but had to leave Austria when the Nazis came .",train,eng,0.91
Pachycephalosaurus is a genus of pachycephalosaurid dinosaur .,Pachycephalosaurus was a member of the Pachycephalosaurid family .,train,eng,0.91
My number is lost. May I have yours?,"lost my number,can i get yours!",train,eng,0.91
Its county seat is Clarksdale .,It 's capital is Clarksdale .,train,eng,0.91
I do not think it matters what your race is.,"i dont think it matters if your white, black, purple, yellow, etc.",train,eng,0.91
"That is just as I should hope, Mr Tulkinghorn.","that's what I'm hoping for, Mr. Tulkinghorne.",train,eng,0.91
He's got the ball. He's going on the run.,he got the ball and he's running.,train,eng,0.91
a boy plays with a noodle by the pool.,A boy plays with a foam noodle toy by a pool.,train,eng,0.91
"This book could have been written better, but it's still nothing to complain about.","So even though the book didn't really ""wow"" me, I still enjoyed reading it.",train,eng,0.91
I suggest you watch all of it again.,why don't you watch it all over again.,train,eng,0.91
"@Lustig Andrei, So Lyndon Johnson and John Kennedy were compatible?","@edgarblythe, So Lyndon Johnson and John Kennedy were compatible?",train,eng,0.91
The Doctor's got them back in their quarters already.,the doctor had already sent them to his quarters.,train,eng,0.91
"To borrow a phrase from Holden Caufield, ""phonies"".",Taking a word from Holden Caulfield here...Phonies,train,eng,0.91
It becomes visible when it breathes fire.,"when he's spitting fire, then you can see it.",train,eng,0.91
"At the 2006 census , Beveridge and the surrounding area had a population of 1,192 .","In 2006 there were 1,192 people living in Beveridge and the local area .",train,eng,0.91
I really don't know; it's a random guess.,i dono jus a random guess,train,eng,0.91
"Charlotte Eagles is an American professional soccer team based in Charlotte , North Carolina , United States .","The Charlotte Eagles are a soccer club that plays in Charlotte , North Carolina .",train,eng,0.91
The village suffered major congestion until the bypass was built in the 1960s .,In the 1960 's a bypass was built to go around the village .,train,eng,0.91
"So come to New York right away, Mark. Please, do it for me.","Mark, if you care about me a little, come to New York.",train,eng,0.91
"Drusilla Jane ""DJ"" Jaco is a deputy sentinel of New Orleans.",DJ is employed as the deputy sentinel of New Orleans.,train,eng,0.91
He leads the Ranger team we're sending in.,he's leading the Rangers team going there.,train,eng,0.91
"Similar to how I alphabetize my CD collection, certain things have to be done in a particular way.",Like I alphabetize my CD collection and certain things have to be just so.,train,eng,0.91
"The only thing that you can tell by his looks, is that he is hot amd that you want him!",the only thing you can tell by looking at him is if hes hot and you want him!!!!,train,eng,0.91
@realDonaldTrump I hope and pray you get the nomination. America needs a man with a backbone! And one that can't be bought!,@realDonaldTrump Stay the course! You can win! The USA needs your leadership and competence!,train,eng,0.91
"He would have wanted you to have this, honey.","he'd want you to have it, darling.",train,eng,0.91
But the prime minister told the BBC he wasn't bothered by polls and that he would continue to do what he believed to be right.,"He said he wasn't bothered by polls and that he would continue to do what he believed to be right, in both foreign and domestic policy.",train,eng,0.91
Give Palmela and her five sisters a phone call.,Call up Palmela and her five sisters.,train,eng,0.91
"If you make her feel comfortable, then she will like you.",So u make her feel comfortable then she will like u.,train,eng,0.91
Then you can call anywhere you want.,then presto you can call anywhere you want.,train,eng,0.91
I think it is called After Dark by Tito and Tarantula.,I think it is After Dark - Tito & Tarantula.,train,eng,0.91
"Be yourself, show them you care for them.",be yourself bro and show them you like and care for them.,train,eng,0.91
All in all this is a wonderful book.,"I found myself smiling through out the whole book, and not many books can do that for me.",train,eng,0.91
The name was originally used in reference to pesos oro or pesos plata .,The name comes from the spanish words pesos oro or pesos plata .,train,eng,0.91
Just tell them you are sorry and leave with the other people.,just say srry and go off with some other ppl.,train,eng,0.9
Invite her to your home and watch a pornographic movie together.,invite her over and pop in a porno,train,eng,0.9
"Tomorrow night, we're actually, seriously, throwing a party, if you wanna come.","seriously, we're having a party tomorrow night.",train,eng,0.9
"Hey, guys, um, there's pizza in there if you want some.","if you want, there's pizza inside.",train,eng,0.9
It is just not what I am interested in.,it's just not my cup of tea,train,eng,0.88
"To retrieve lines, I suggest you go to www.rapbattles.com.",go to www.rapbattles.com that is a good website to get lines,train,eng,0.88
"Rachel, on the other hand... I don't know.","on the other side, I'm not so sure about Rachel.",train,eng,0.88
"People may engage in oral sex as part of foreplay before sexual intercourse , or during or following intercourse .","Sometimes oral sex is performed as a way of getting ready for intercourse , but it may be done as an alternative to intercourse .",train,eng,0.88
Who's to say it could not be bought by someone else?,who knows that someone else hasn't bought it?,train,eng,0.88
"Just say, ""I just want to now! Do you like me as a friend, or something more?",just say i just want to now!Do u like me as a friend or something more?,train,eng,0.88
Frank Gardiner An Australia bushranger of the 19th century .,Frank Gardiner was a famous Australian bushranger .,train,eng,0.88
"He's had a heart attack... fairly minor, but a heart attack nevertheless.","it was small, but it was a heart attack.",train,eng,0.88
"Excuse me, but perhaps you misunderstand me.","I'm sorry, but I don't think you understood me.",train,eng,0.88
"The devil's going to rip you a new lifestyle every time, lol.",":) The devil's going to rip you a new lifestyle, everytime.",train,eng,0.88
that's my two cents any way.,But that is just my two cents!,train,eng,0.88
Is your girlfriend there permanently?,But is your girlfriend there to stay?,train,eng,0.88
Non-inferiority to sevelamer carbonate was determined at week 12.,"in week 12, non-inferiority was found against sevelamer-carbonate.",train,eng,0.88
There is nothing good about seeing people die.,there is nothing cool in seeing people dying.,train,eng,0.88
The population was 641 at the 2000 census .,"In 2000 , 641 lived there .",train,eng,0.88
That does not sound to me like what she would do if she had utterly deserted me.,I don't think that's what she'd do if she wanted to leave me altogether.,train,eng,0.88
How should I get recognized?,how the heck should i get recognized?,train,eng,0.88
Andrea is independently wealthy due to a fat divorce settlement.,"after the divorce settlement, Andrea is independent and rich.",train,eng,0.88
"Additionally, be sure not to apply it too heavily. That is where many people make an error - by adding too much yeast.","Oh, and don't absolutely slather it on...thats where lots of people make their mistake...too much yeast!",train,eng,0.88
A small white dog climbs over a log.,a small dog steps onto a log.,train,eng,0.88
"I recommend that you and three friends who are women book an on-line cruise, because you will enjoy it.",So go get 3 of your best gal pals get on line and book a cruise...you will love it!,train,eng,0.88
"Suddenly, the interference eased off, and a voice could be heard above the noise.","all of a sudden the noise dropped, and everyone heard a human voice.",train,eng,0.88
"He is a multi-instrumentalist and plays bass , guitar , keyboards , and sings .","He can play bass , guitar , keyboards , and can sing .",train,eng,0.88
the united states government and other nato members have refused to ratify the amended treaty until officials in moscow withdraw troops from the former soviet republics of moldova and georgia.,the united states and other nato members have refused ratify the amended treaty until russia completely withdraws from moldova and georgia.,train,eng,0.88
"December to Dismember was a professional wrestling event that took place on December 9 , 1995 at the ECW Arena in Philadelphia , Pennsylvania .",December to Dismember was a professional wrestling event first held by the original Extreme Championship Wrestling in 1995 as a non-televised supercard .,train,eng,0.88
It suddenly hit me just how wrong this was.,I was suddenly thinking how bad it was.,train,eng,0.88
"However, that had already been said.",But that had already been said.,train,eng,0.88
This format was adopted by European circuses at the turn of the 20th century .,During most of the 20th century this is what circuses were mostly like .,train,eng,0.88
"Since 2003 , Red Hat has discontinued the Red Hat Linux line in favor of Red Hat Enterprise Linux for enterprise environments .",Red Hat then decided to discontinue a future release of Red Hat Linux and started the paid Red Hat Enterprise Linux instead .,train,eng,0.88
"And now that you're together, it's just so great.",it's great that you guys are together.,train,eng,0.88
"Though at $300 an hour,they don't come cheap.","they pay them 300 bucks an hour, they're not the cheapest.",train,eng,0.88
"A boarding school is when the pupils sleep , eat and work in or near the school grounds .",A boarding school is a school where the students live and sleep at the school while going to their classes .,train,eng,0.88
A woman is eating fish at a restaurant.,A woman eating a large fish in a restaurant.,train,eng,0.88
Glove box is the first place they check.,they look in the glove compartment first.,train,eng,0.88
"Similarly , katakana is usually used for country names , foreign places , and personal names .","Katakana is used to write words which have been borrowed from other languages , or to write foreign names and names of countries .",train,eng,0.88
It was something my husband and I talked about.,we have often talked about such things with my husband.,train,eng,0.88
putin stated that the russian government could withdraw from the treaty altogether if western nations refuse to ratify the amended treaty.,putin stated that russia could discard the treaty entirely if western nations refuse to ratify its amended version.,train,eng,0.88
A strut bar is designed to reduce this strut tower flex by tying two parallel strut towers together .,A strut bar or strut brace is to prevent body roll by bracing the top of the strut towers together .,train,eng,0.88
