index,Text1,Text2,Type,Lang,Scores,e5_mean
6686,ለችግር ከተጋለጡ ዜጎች ጉሮሮ ነጥቃ መሳሪያ የምትገዛ አረመኔ ድርጅት ነበረች ።,፲፬ እግዚአብሔር ስለእናንተ ይዋጋል እናንተም ዝም ትላላችሁ ።,train,amh,0.2,0.7954699993133545
6688,የአሰልጣኞች አስተያየት | አዳማ ከተማ 1-1 ወላይታ ድቻ ።,ሙሴን “ልምረው የምፈልገውን እምረዋለሁ ፤ ልራራለት የምፈልገውን ደግሞ እራራለታለሁ” ብሎታልና ።,train,amh,0.06,0.8286200761795044
6689,በልጆቿ ተጋድሎ ኢትዮጵያ ለዘላለም ትኑር !,ኢትዮጵያ ለዘላለም በልጆቿ ተጠብቃ ትኖራለች ?,train,amh,0.75,0.9349696636199952
6690,– እንዲሁም የህግ ታራሚዎች ሆናችሁ በየማረሚያ ቤቱ የምትገኙ ኢትዮጵያውያት በሙሉ ፣ ።,– እንዲሁም የሕግ ታራሚዎች ሆናችሁ በየማረሚያ ቤቱ የምትገኙ ።,train,amh,0.75,0.9625495672225952
6691,ሁለት ሁለቱም ገላቸውን ይከድኑ ነበር ።,ያልተቋቋመ አክሲዮን ማኅበር ስንል የምሥረታ ጉባዔውን ያላካሄደና ሕጋዊ ሰውነትም ያልተሰጠው አክሲዮን ማኅበር ማለታችን ነው ፡፡,train,amh,0.16,0.7824322581291199
6692,የሴቶች የሰላም ኮንፈረንስ በባህር ዳር ከተማ እየተካሄደ ነው ።,ሃገር አቀፍ የባህል ማዕከላት የልምድ ልውውጥ ፕሮግራም በባህር ዳር ከተማ እየተካሄደ ነው ።,train,amh,0.33,0.9156535863876344
6693,ምናልባት 3 000 እና ከዚያም በላይ ዕድሜ ሳይኖረው እንዳልቀረ ይታሰባል ።,አባይ ለሀገሩ ትቶ ለሱዳን ና ግብፅ ካባ አልባሾቹም በስሙ ስልጣን ከያዙበ ።,train,amh,0.31,0.800890326499939
6694,እምነት ቤቱ አመጻ አለው ፣ ቤተ መንግሥቱም ።,ቤተ ክህነቱም ቤተ መንግሥቱም አልሰማቸ ውም ።,train,amh,0.3,0.9263263940811156
6695,“ጠ/ሚኒስትሩ ለለውጥ የተዘጋጁ ፣ ለለውጥ የሚጋብዙ ናቸው” ።,እኔም ጠቅላይ ሚኒስትሩን ሳያቸው ለለውጥ የተዘጋጁ ፣ ለለውጥ የሚጋብዙ ናቸው ፡፡,train,amh,0.88,0.9007774591445924
6696,ከዚህም በተጨማሪ መጽሐፍ ቅዱስ ስለ ሌሎች አንገብጋቢ ጉዳዮች ብዙ የሚናገረው ነገር አለው ።,መጽሐፍ ቅዱስ ስለ ሥላሴ የሚናገረው ነገር አለን ?,train,amh,0.44,0.8848182559013367
6697,ጌታ እግዚአብሔር እንዲህ አሳየኝ ፤ እነሆም ፥,: የሠራዊት ጌታ እግዚአብሔር እንዲህ ይላል ።,train,amh,0.58,0.9301331043243408
6698,የአብን የምርጫ ዘመቻ - ባሕር ዳር ።,ፎቶ ፋይል ፦ ባሕር ዳር ።,train,amh,0.36,0.911894679069519
6699,ለመላው የእስልምና እምነት ተከታዮች በሙሉ እንኳን ለኢድ አል አድሃ በዓል በሰላም አደረሳችሁ !,ርዕሰ መስተዳድሩ ለመላው የእስልምና ተከታዮች የእንኳን አደረሳችሁ መልዕክት አስተላለፉ ።,train,amh,0.77,0.9137612581253052
6700,ሚስተር እድለኛ ነህ ደደብ ነህ ወይም ምን ?,ቱሪስቱ መንግስታችን እንዴት ነህ ደህና ነህ አንዴት ነህ . ?,train,amh,0.28,0.9058880805969238
6701,‹‹የራሳቸውን ጥቅም ለማስከበር የሰሩት ሥራ ነው›› ሲሉ ምን ማለትዎ ነው ?,አብርቼላታለሁ ሲሉ ምን ማለትዎ ነው ?,train,amh,0.38,0.8929873704910278
6702,አባይ ሚዲያ ዜና- ጥር 17 ፣2012 ።,አባይ ሚዲያ ዜና – ህዳር 29 ፣ 2012 ።,train,amh,0.61,0.8982877135276794
6703,መልካም ልደት የኔ ፍቅር ።,እንኳን ለጌታችን ልደት አደረሳችሁ የኔ ነፍጠኞች !,train,amh,0.33,0.9197611212730408
6705,አዲስ ነገር ነው እንዴ ?,“ምነው አዲስ ነገር ነው እንዴ ?,train,amh,0.83,0.9750443696975708
6706,(ሙሉውን ለማንበብ እዚህ ይጫኑ) ።,ቀሪውን ለማንበብ እዚህ ይጫኑ ፡፡,train,amh,0.66,0.962859869003296
6708,………አቶ ራሳም በሕይወቴ ካጋጠሙኝ ጥሩ ሰዎች አንዱ አንተ ነህ ።,“አቶ ጉልማ አንተ ነህ ?,train,amh,0.34,0.8542192578315735
6709,አንተ የተጠቀምካቸውን ቃላቶች እና አሧ አለችኝ ብለህ ያሠብካቸው ለአንተና ለ ።,ለሰልፉ ኃላፊነት ለመውሰድ ፍቃደኛ ሳይሆን የቀረው ሰማያዊ ፓርቲ ዴሞክራሲ እየገባው ይመስላል ::,train,amh,0.28,0.8090459108352661
6710,"""አሁን ላይ የምግብ እጥረት የለም ።","""ኢትዮጵያ ውስጥ የስኳር እጥረት የለም "" ።",train,amh,0.47,0.9282045364379884
6711,የካቲት 12 እማ ጭራሽ እንደጥሊያኑ ነበር የሚያቅለሸልሻችሁ ።,ይሁንና የምርምራቸውን ውጤት አስመልክተው የሰጧቸው አያሌ አስተያየቶች እርስ በርሳቸው የሚጋጩ ናቸው ።,train,amh,0.19,0.8026612997055054
6712,ሆኖም የአገሪቱ ሕገ መንግሥት ሳን ሱ ቺ የአገሪቱ ፕሬዝዳንት እንድትሆን አይፈቅድም ።,ሆኖም የአገሪቱ ሕገ መንግሥት ሳን ሱ ቺ የአገሪቱ ፕሬዝዳንት እንዲሆኑ አልፈቀደም ።,train,amh,0.95,0.9941859245300292
6713,ሁለቱም በጣም ከባድ ወንጀሎች ናቸው ፡፡,ሁለቱም ሀሳብ ይፈልጋሉ ፣ሁለቱም ውበት ይፈልጋሉ፣ሁለቱም ቀናተኞች ናቸው. . ሁለቱም ይናጠቃሉ !,train,amh,0.34,0.8758672475814819
6714,እኛ እኮ ድንቅ ህዝቦች ነን ።,ድንቅ ፍጹም ድንቅ ነው ።,train,amh,0.38,0.9331881999969482
6715,ማሪታይም አንዳች ሲስተም የሚባል ነገር የለም ፡፡,ኦሮሞ የሚባል ነገር የለም ።,train,amh,0.14,0.9310429096221924
6716,አገር እንደ አገር እንድትቀጥል ሰንኮፉ መውጣት አለበት ፡፡,ቀጣዩም የከፋ ስለሚሆንና አገርም እንደ አገር እንድትቀጥል ምርመራው በደንብ ተካሂዶ ሰንኮፉ ተነቅሎ መውጣት አለበት ፡፡,train,amh,0.64,0.9232765436172484
6717,የሐሙስ ግንቦት 6 ቀን 2012 ዓም የዓለም ዜና ።,የሐሙስ መጋቢት 23 ቀን 2013 ዓም የዓለም ዜና ።,train,amh,0.53,0.9435036182403564
6718,አንድ የአውዱ ተካፋይ “የማንም የመንደር ሹም ንጉሥ ሊባል አይገባም !,የዚህ የጋሞ ካዎ ፣ “የመንደር ሹም ፣ንጉሥ ሊባል ከቶ አይገባውም !,train,amh,0.64,0.9451484084129332
6719,ረዥሙ የስደት ዘመን ተጠናቀቀ[ ለማስተካከል | ኮድ አርም ] ።,የሥልጣን ፍጻሜ[ ለማስተካከል | ኮድ አርም ] ።,train,amh,0.41,0.9322595000267028
6720,የሾርባ ማንኪያ ትክክለኛውን የጥቁር አዝሙድ ዘይት መውሰድ ።,አንድ የሾርባ ማንኪያ የጥቁር አዝሙድ ዘይት ከአንድ ማንኪያ ።,train,amh,0.77,0.9490387439727784
6721,ወደ ኮሮናቫይረስ ስንመጣ ግን በቺካጎ ከሞቱት ሰዎች 70 ከመቶ ጥቁሮች ናቸው ።,በኮሮና ከሞቱት ውስጥ ግን 41 ከመቶ ጥቁሮች መሆናቸው አነጋጋሪ ሆኗል ።,train,amh,0.73,0.9414173364639282
6722,በአጠቃላይ በኢትዮጵያ ቫይረሱ በምርመራ የተገኘባቸው ሰዎች ቁጥር 106 ሺህ 203 ደርሷል ።,ከዚህ ባለፈም በሃገሪቱ ቫይረሱ የተገኘባቸው ሰዎች ቁጥር 580 ሺህ ደርሷል ነው የተባለው ።,train,amh,0.59,0.9213149547576904
6723,ጠቅላይ ምኒስትር አብይ አሕመድ በአሜሪካ ።,የዓለም ባንክ የአንድ ቢሊዮን ዶላር ድጋፍ ለኢትዮጵያ ሊሰጥ መሆኑን ጠቅላይ ምኒስትር አብይ አሕመድ አስታወቁ ።,train,amh,0.48,0.8777182102203369
6724,አዲስ አበባ ደርሶ መልስ ፕሬዝዳንት ባራክ ኦባማ አውዲዮውን ያዳምጡ ።,ባራክ ኦባማ ከፕሬዝዳንትነታቸው በኋላ ።,train,amh,0.33,0.9063140749931335
6725,የአፍና አፍንጫ መሸፈኛ ጭምብል ዘወትር በአግባቡ መጠቀም ፣ ።,· ኮቪድ-19ን ለመከላከል የሚያስችል የአፍና አፍንጫ መሸፈኛ ጭምብል (ማስክ) ይዛችሁ ።,train,amh,0.8,0.9018415212631226
6726,(የሉቃስ ወንጌል ምዕ . 5) - 31 ፤ ኢየሱስም መልሶ ።,ኢሰቲ ከዚህ ውጪ ምን ይባላል ?,train,amh,0.25,0.8163919448852539
6727,ስንት ግፍ ሲሰራ እያየህ ዝም ።,ስንት ዘረፋ ሲካሄድ እያየህ ዝም ፡፡,train,amh,0.73,0.9832378625869752
6728,የዜና መጽሔት ፤ የካቲት 5 ፣ ቀን ፤ 2012 ዓ.ም ሐሙስ ።,የዜና መጽሔት ፤ ኅዳር 18 ቀን 2013 ዓ.ም አርብ ።,train,amh,0.5,0.9410107135772704
6729,እኔ : እንደኔ እንደኔ እንዲህ ብታደርግ መልካም ነው ።,እንደኔ እንደኔ መባል ያለበት “ተቃውሞና ተቃዋሚ ፓርቲዎች” ሳይሆን “ውድድርና ተወዳዳሪ ፓርቲዎች” ነውና !,train,amh,0.33,0.8230670094490051
6730,በቻይና መንግስት ሙሉ ወጪ ተገንብቶ ለአፍሪካ ህብረት የተበረከተው አዲስ ህንጻ በተመረቀበት ወቅት የአፍሪካ… ።,አፍሪካ ህብረትና የተባበሩት መንግሥታት የብሩንዲ ምርጫ እንዳሳሰባቸው ገለፁ ።,train,amh,0.28,0.8486639857292175
6731,ህክምናው ከጥንት ጀምሮ የነበረ ቢሆንም ህክምናውን ከዘመናዊ ህክምና ጋር አጣጥሞ ለማስኬድ አልተቻለም ።,▪ ሐዋርያው ጳውሎስ ከሮም ሆኖ ለፊልጵስዩስ ጉባኤ ደብዳቤ የጻፈው ከ60 እስከ 61 ዓ. ።,train,amh,0.22,0.8002949953079224
6733,” የተባለው ተረት ዕውን ሆነ ማለት ነው ።,” የተባለው ተረት ዓይነት ሆነ ማለት ነው ።,train,amh,0.7,0.968120276927948
6734,አሜሪካ ውስጥ ነው ያሉት ።,ልክ እንደ አሜሪካ ማለት ነው ።,train,amh,0.45,0.9582449197769164
6735,እረኝነት ከማድረጌ በፊት ስላሉበት ሁኔታ ማሰቤ በወቅቱ የሚያስፈልጋቸውን ማበረታቻ ለመስጠት ቀላል እንዲሆንልኝ አድርጓል ።,ጉራጌ ኦሮሚያ ውስጥ የትም ሄዶ ለመስራት የማንም ፍቃድ አያስፈለገውም ።,train,amh,0.2,0.8122493028640747
6736,እነሆ ለጠቅላላ ዕውቀት . ።,ለጠቅላላ ዕውቀት ፈልጌው ነው. ።,train,amh,0.58,0.9643410444259644
6737,ገንዘቡ የሕዝብ ሀብት ነውና !,ገንዘቡ ከኤርትራ ነው ፤ ።,train,amh,0.52,0.9155020713806152
6738,የት የት ነበር የሙዚቃ ድግስ ስታቀርብ የቆየኸው ?,ማን ፣ መቼ፣ የት የት ቦታ ሄደ ?,train,amh,0.3,0.9056994915008544
6739,የመንግሥቱ ሥራ ምን ያህል እየተስፋፋ እንዳለ የሚያሳይ ሌላም ምሳሌ እንመልከት ።,ያንን የሚመጥን የውስጥ ተቋማዊ ፍተሻነው የተደረገው ፡፡,train,amh,0.36,0.8452278971672058
6740,ያንተን የአካል ቅርጽ እንደኔ በጥሞና ላስተዋለ እዚህ ቦታ ይሄ ጐደለህ ለማለት ፈጽሞ አይቻልም ፡፡,ዲያሊሲስ ለማድረግ የሚያስፈልገው መጠን እንደበሽታው ዓይነትና እንደሰውየው ያለበት ደረጃ ይለያያል ፡፡,train,amh,0.3,0.8336485028266907
6741,ጃዋሪያን ስሙ ሲጠራ የሚያንዘፈዝፍቸውን አፄ ሚኒሊክ አወድሷል ።,ዛሬም የትውልድን መንቃት የሚጠይቀው ኤች አይ ቪ ኤድስ ።,train,amh,0.19,0.8162949085235596
6742,(ይህ ፖለቲካ ነክ ጽሑፍ መሠረት ወይም መዋቅር ነው ።,(ይህ አጭር ጽሑፍ መሠረት ወይም መዋቅር ነው ።,train,amh,0.55,0.9642632603645324
6743,ከሁሉ በላይ የተጎዱት በጦርነት አካባቢዎችና ፈጣን ማኅበራዊና ኢኮኖሚያዊ ለውጥ በሚታይባቸው አገሮች የሚኖሩ ልጆች ናቸው ።,ሆስፒታል ውስጥ ተተኪ ደም ሳይኖር እንዲህ አይነት የቀዶ ህክምና ጨርሶ አይካሄድም ፡፡,train,amh,0.2,0.8004229664802551
6744,ይህ ምሳሌ ሁለት መልእክት አለው ፡፡,ይህ በራሱ ሁለት ፈርጅ አለው ።,train,amh,0.58,0.931888461112976
6745,የሽግግር መንግስት መፍትሄ አይሆንም ዶ/ር መረራ ጉዲና ።,ዶ/ር መረራ ጉዲና በወቅታዊ የኢትዮጵያ ጉዳይ ።,train,amh,0.52,0.8947927355766296
6746,እዚህ ጀርመን ሀገር በስደት መጥቶ መኖር ከጀመረ 7 ዓመታት ተቆጥሯል ።,ጀርመን ሀገር መኖር ከጀመረ ስምንት ዓመታትን አስቆጥሯል ።,train,amh,0.75,0.952141523361206
6747,አዲሱ አመት ኢትዮጵያውያን ከእንቅልፍ የሚነቁበት አመት ይሁን ?,የሰው ልጆች ለይሖዋ ክብር መስጠት ያለባቸው ለምንድን ነው ?,train,amh,0.2,0.8599584102630615
6748,መማር ማለት ምን ማለት ነው ?,በምኞት ውስጥ መሬት ላይ መኖር ምን ማለት ምን ማለት ነው ፤ ።,train,amh,0.31,0.8922656178474426
6749,"ባለፋት 24 ሰዓታት የ9 ሰዎች ሕይወት አልፏል ፤አጠቃላይ የሟቾች ቁጥርን 1,994 አድርሶታል ።",ባለፋት 24 ሰዓታት የ6 ሰዎች ሕይወት አልፏል ፤አጠቃላይ የሟቾች ቁጥርን 1214 አድርሶታል ።,train,amh,0.75,0.960739254951477
6750,የአማራ ክልል ፕሬዝዳንት ገዱ አንዳርጋቸው ከሰማያዊ ፓርቲ መሪዎች ጋር ዛሬ በባህርዳር ተወያይተዋል ።,“ እንዴት ይህን ትልቅ ክፉ ነገር አደርጋለሁ ?,train,amh,0.16,0.7754867076873779
6751,ተልኮዋን ለማሳካት 5 ደቂቃዎች ብቻ ናቸው የቀሯት ።,ተልኮዋን ለማሳካት 5 ደቂቃዎች ብቻ ናቸው የሚቀሯት ።,train,amh,0.88,0.9967733025550842
6752,አስቸኳይ በመተከል ዞን ስር በምትገኘው ማንዱራ ወረዳ ጅግዳ ቀበሌ ነዋሪዎች በአራጆች ተከበዋል ።,በመተከል ዞን ማንዱራ ወረዳ ማንቡክ ቀበሌ ከፍተኛ ተኩስ እየተሰማ ነው ተባለ ።,train,amh,0.66,0.9305489659309388
6753,የፊፋ ወርሃዊ ደረጃ- በዓለም 18 በአፍሪካ 1 ።,የፊፋ ወርሃዊ ደረጃ- በዓለም 24 በአፍሪካ 2 ።,train,amh,0.66,0.9478678703308104
6754,ይህ ከአንድ ዓመት ተኩል በፊት የሚቻል አልነበረም ።,አወዳድሮ ለመጀመሪያ ጊዜ ሴት ምክትል ፕሬዝዳንት የሾመውም ከአንድ ዓመት ተኩል በፊት ነው ።,train,amh,0.44,0.8814592957496643
6755,አዲሱ ጀርመን የስደተኞች ሕግ ።,አዲሱ የጀርመን የስደተኞች ሕግ ።,train,amh,0.95,0.9971696138381958
6756,በተጻራሪ አንድ አንድ እኩል የማይመስሉ አዕላፎች እኩል ሆነው ይገኛሉ ።,እኩል ነው ” ይላል ።,train,amh,0.41,0.8864798545837402
6758,እዚህ አገር እኮ ተቃዋሚ ፓርቲ የለም !,ሌላው የሆነ ተቃዋሚ ፓርቲ መ ።,train,amh,0.47,0.9134076833724976
6759,ታዲያ ለዚህ ምንድን ነው መፍትሄው ?,ታዲያ የተሟላ ዕድገት ምንድን ነው ?,train,amh,0.34,0.9247377514839172
6760,፡- እንደሚባለው ከሆነ ፤ ምንም ጥርጥር የሌለው እውነት ነው ፡፡,አካሄዱ እንደሚባለው የሚፈስ ከሆነ እውነት ነው ፡፡,train,amh,0.53,0.9286448955535888
6761,ከነፍስ የተለየ ሥጋ የሞተ እንደ ሆነ ፥,ከነፍስ የተለየ ሥጋ የሞተ እንደሆነ እንዲሁ ደግሞ ከሥራ የተለየ እምነት የሞተ ነው” ያለን ፡፡,train,amh,0.69,0.8988069295883179
6762,እኛን ከዚህ ጉዳይ ጋር የምንገናኝበት ቅንጣት ታክል ግንኙነት የለም ።,እኛን ቅንጣት ታህል ከዚህ ጉዳይ ጋ የሚያገናኘን ነገር የለም ።,train,amh,0.89,0.973581612110138
6763,‹ህመማቸው ምን እንደሆነ አላውቅም ፡፡,ህመማቸው ከአቅማቸው በላይ ሆነ ፡፡,train,amh,0.56,0.920252561569214
6764,የሽግግር ወቅት ፍትህ ምንነት ።,የሽግግር ወቅት ፍትህ ሲነሳ አብሮ የሚነሳው ተጠያቂነት ነው ።,train,amh,0.73,0.9253526329994202
6765,ይልቅስ እንዲህ እናድርግ ፡- ።,አንድ ነገር መነሻ እናድርግ ፡፡,train,amh,0.42,0.9290743470191956
6766,» አሉና የተዘጋውን የፋርማሲው በር ገላመጡት ፡፡,... አሉና የተዘጋውን የመድሃኒት ቤቱ በር እያዩ ዝም አሉ ፡፡,train,amh,0.75,0.8892289996147156
6767,ልጅ እንዳለ ወርቁ ማነው ያለው ካሳን ጎንደሬ አዲስ የሙዚቃ ቪድዮ ተጋበዙልን . ።,ወርቅዬ ጌታቸው በሬዱ አዲስ የሙዚቃ ቪድዮ ተጋበዙልን . ።,train,amh,0.48,0.9470527172088624
6768,ህግ ቢኖር በቁጥጥር ስር መዋል ይገባው ነበር ፡፡,ፈተናው የሁለት ትግሬወች በቁጥጥር ስር መዋል ነበር ።,train,amh,0.28,0.8851150274276733
6769,"ቅዳሜ ፡-ከምሽቱ ሦስት ሰዓት የአማርኛ ዜና - ዲሴምበር 26, 2020 ።","ረቡዕ ፡-ከምሽቱ ሦስት ሰዓት የአማርኛ ዜና - ሜይ 05, 2021 ።",train,amh,0.69,0.9483497738838196
6770,የማክሰኞ ግንቦት 18 ቀን 2012 ዓም ሙሉ ሥርጭት ።,የረቡዕ ታኅሣሥ 21 ቀን 2013 ዓም ሙሉ ሥርጭት ።,train,amh,0.69,0.9444795846939088
6771,እየሆነ ያለው ይኸው ነው ፡፡,ዛሬም ያለው ሁኔታ ይኸው ነው ፡፡,train,amh,0.64,0.9566514492034912
6772,ዘጋቢ ፡- ታርቆ ክንዴ/ባሕር ዳር፡ ሐምሌ 2/2011 ዓ.ም (አብመድ) ።,ዜና መፅሔት ባሕር ዳር ፡ ነሐሴ 16/2011 ዓ.ም (አብመድ)... ።,train,amh,0.45,0.9380294680595398
6773,88 ሰዎች የኮሮና ቫይረስ ተገኝቶባቸዋል - በሀገራችን ቫይረሱ በምርመራ የተገኘባቸው ሰዎች ቁጥር 582 ደርሷል ፡፡,በአጠቃላይ በሀገራችን ቫይረሱ በምርመራ የተገኘባቸው ሰዎች ቁጥር 1 805 ደርሷል ።,train,amh,0.55,0.9492491483688354
6774,"በ2016 እኤአ የሥነ-ህዝብ ብዛት 4,954,645 ሚሊዮን ይገመታል ፡፡",የተንቀሳቃሽ ስልክ ኔት ወርክ ተደራሽነትን አስፋፍቷል ።,train,amh,0.33,0.8384470343589783
6775,ይህ አንዱ ትልቅ ችግር ነው ።,እርግጥ ነው ትልቅ ስልጣን ፣ ትልቅ ኃይል ያለበት ቦታ ነው ።,train,amh,0.3,0.886254608631134
6776,በአራት እጥፍ ገደማ ማለት ነው ።,በሁለት እጥፍ ገደማ ነው ያደገው - ወደ 135ሺ ገደማ የስልክ መስመሮች ።,train,amh,0.41,0.8579270839691162
6778,ጉዳዩ ከዚህ በላይ ነው ።,ለመሆኑ የውጭ ጉዳዩ ማን ነው ፡፡,train,amh,0.23,0.9162734150886536
6779,የእሁዱ የማዕከላዊ አፍሪካ ሪፐብሊክ ምርጫ ከወዲሁ አስግቷል ።,ባንጉይ ፤ የማዕከላዊ አፍሪካ ሪፐብሊክ ተቃዋሚዎች ምርጫ እንዲራዘም ጠየቁ ።,train,amh,0.58,0.9093544483184814
6780,ይህ ገጽ መጨረሻ የተቀየረው እ.ኣ.አ በ04 :12 ፣ 28 ጁላይ 2008 ዓ.ም. ነበር ።,ይህ ገጽ መጨረሻ የተቀየረው እ.ኣ.አ በ01 :02 ፣ 28 ጁላይ 2008 ዓ.ም. ነበር ።,train,amh,0.73,0.9857680797576904
6781,ያው እንግዴ ቻይንኛ ለመማር የነበረኝን ተነሳሽነት ሰርዤ ኦሮሚኛን በአማርኛ ፊደል ለመማር እያሰብኩ ነው ?,የአሜሪካ መንግስት ነው የመረጠልን ካሉ ፣ ይህ ሲሆን እነሱ የት ነበሩ ?,train,amh,0.22,0.8348859548568726
6782,ለአዲስ አበባ የእራት ምሽት እየተካሄደ ነው ።,ይህ መልዕክት ለአዲስ አበባ ልጆች ነው !,train,amh,0.39,0.9025567770004272
6783,ይህ ገጽ መጨረሻ የተቀየረው እ.ኣ.አ በ03 :08 ፣ 4 ጃንዩዌሪ 2014 ዓ.ም. ነበር ።,ይህ ገጽ መጨረሻ የተቀየረው እ.ኣ.አ በ21 :23 ፣ 15 ጃንዩዌሪ 2013 ዓ.ም. ነበር ።,train,amh,0.61,0.9627621173858644
6784,""" የአዲስ አበባ ነዋሪዎች ።",የመንግሥት ባለሥልጣናት እና የአዲስ አበባ ከተማ ነዋሪዎች ወደ ቦሌ ዓለ... ።,train,amh,0.48,0.8893404006958008
6785,ገንዘብን በአግባቡ መጠቀም የሚል እሳቤዋ ካላስወቀሳት በስተቀር ፣ ሌላ ክፋቷን አላስታውስም ፡፡,ላይ “ገንዘብን በአግባቡ መጠቀም — እንዴት ?,train,amh,0.59,0.8488588333129883
6786,በቤኒሻንጉልና በኦሮሚያ መካከል የፌድራል የጸጥታ አስከባሪዎች ሊሰፍሩ ነው ።,በቤኒሻንጉል ጉሙዝና በኦሮሚያ መካከል የፌድራል መንግሥት የጸጥታ አስከባሪዎች ሊሰፍሩ ነው ።,train,amh,0.86,0.9883301854133606
6787,ወደፊትም በቅርብ ዓመታት ውስጥ ተግባራዊ የሚሆን አይመስልም ፡፡,ይህ ግን አሁን ተግባራዊ የሚሆን አይደለም ።,train,amh,0.61,0.923476219177246
6788,(የጹሑፉ ሐሳብ ምን እንደነበር ከተያያዘው የድምፅ ፋይል ያዳምጡ) ።,(ዝርዝሩን ከተያያዘው የድምፅ ፋይል ያድምጡ ።,train,amh,0.69,0.9712510108947754
6789,ኢትዮጵያ በየአመቱ 77 ቢሊዮን ኪዩቢክ ሜትር ውሃ ታመነጫለች ፡፡,13 ቢሊዮን ኪዩቢክ ሜትር ውሃ ምንም ማለት አይደለም ፡፡,train,amh,0.41,0.9030835032463074
6790,የኢፌዴሪ ጠቅላይ ሚኒስትር ዶክተር አብይ አህመድ ከወልቂጤ ከተማ ነዋሪዎች ጋር እየተወያዩ ነው ።,የኢፌዴሪ ጠቅላይ ሚኒስትር ዶክተር ዐቢይ አህመድ በወቅታዊ ጉዳይ ላይ ማምሻውን የሰጡት መግለጫ ።,train,amh,0.5,0.925341248512268
6791,የአሜሪካ ቡድን ስለ ጭፍጨፋምርመራ አላደረገም ።,የአሜሪካ ቡድን በተፈፀመ ጭፍጨፋ ላይ ምርመራ አላደረገም ።,train,amh,0.92,0.9871047139167786
6792,የእርሻና ተፈጥሮ ሀብት ልማት ቢሮ ።,የእርሻና ተፈጥሮ ሀብት ልማት ቢሮ ሀላፊ -አቶ መስፍን ቃሬ ።,train,amh,0.7,0.9450606107711792
